regiao,modo,mapa,pick,picks,vitorias,win_rate
EA,brawlBall,Pinhole Punt,GALE,1,0,0.0%
EA,brawlBall,Pinhole Punt,JAE-YONG,1,0,0.0%
EA,brawlBall,Pinhole Punt,KENJI,3,1,33.3%
EA,brawlBall,Pinhole Punt,LEON,6,2,33.3%
EA,brawlBall,Pinhole Punt,LUMI,7,3,42.9%
EA,brawlBall,Pinhole Punt,MAISIE,1,1,100.0%
EA,brawlBall,Pinhole Punt,MEEPLE,7,3,42.9%
EA,brawlBall,Pinhole Punt,MINA,5,3,60.0%
EA,brawlBall,Pinhole Punt,MOE,2,1,50.0%
EA,brawlBall,Pinhole Punt,MORTIS,5,4,80.0%
EA,brawlBall,Pinhole Punt,NAJIA,2,2,100.0%
EA,brawlBall,Pinhole Punt,NITA,1,0,0.0%
EA,brawlBall,Pinhole Punt,OTIS,7,2,28.6%
EA,brawlBall,Pinhole Punt,PAM,2,1,50.0%
EA,brawlBall,Pinhole Punt,PIERCE,1,1,100.0%
EA,brawlBall,Pinhole Punt,POCO,1,0,0.0%
EA,brawlBall,Pinhole Punt,RUFFS,1,1,100.0%
EA,brawlBall,Pinhole Punt,SHADE,3,1,33.3%
EA,brawlBall,Pinhole Punt,SIRIUS,7,4,57.1%
EA,brawlBall,Pinhole Punt,SQUEAK,1,1,100.0%
EA,brawlBall,Pinhole Punt,STU,5,4,80.0%
EA,brawlBall,Pinhole Punt,TARA,1,0,0.0%
EA,brawlBall,Pinhole Punt,TRUNK,1,0,0.0%
EA,brawlBall,Pinhole Punt,ZIGGY,2,2,100.0%
EA,brawlBall,Sneaky Fields,BULL,3,3,100.0%
EA,brawlBall,Sneaky Fields,CHARLIE,2,1,50.0%
EA,brawlBall,Sneaky Fields,CHESTER,4,3,75.0%
EA,brawlBall,Sneaky Fields,COLETTE,1,0,0.0%
EA,brawlBall,Sneaky Fields,EDGAR,4,2,50.0%
EA,brawlBall,Sneaky Fields,EMZ,2,2,100.0%
EA,brawlBall,Sneaky Fields,FRANK,1,0,0.0%
EA,brawlBall,Sneaky Fields,GRIFF,1,1,100.0%
EA,brawlBall,Sneaky Fields,LUMI,1,0,0.0%
EA,brawlBall,Sneaky Fields,MAISIE,1,0,0.0%
EA,brawlBall,Sneaky Fields,MAX,1,1,100.0%
EA,brawlBall,Sneaky Fields,MEEPLE,3,1,33.3%
EA,brawlBall,Sneaky Fields,MOE,1,1,100.0%
EA,brawlBall,Sneaky Fields,NAJIA,1,0,0.0%
EA,brawlBall,Sneaky Fields,NITA,3,1,33.3%
EA,brawlBall,Sneaky Fields,OTIS,2,0,0.0%
EA,brawlBall,Sneaky Fields,POCO,1,0,0.0%
EA,brawlBall,Sneaky Fields,RICO,3,2,66.7%
EA,brawlBall,Sneaky Fields,RUFFS,1,0,0.0%
EA,brawlBall,Sneaky Fields,SANDY,1,0,0.0%
EA,brawlBall,Sneaky Fields,SHADE,1,1,100.0%
EA,brawlBall,Sneaky Fields,SIRIUS,1,1,100.0%
EA,brawlBall,Sneaky Fields,SPIKE,1,1,100.0%
EA,brawlBall,Sneaky Fields,STU,1,0,0.0%
EA,brawlBall,Sneaky Fields,TRUNK,1,0,0.0%
EA,brawlBall,Sunny Soccer,BIBI,1,1,100.0%
EA,brawlBall,Sunny Soccer,BUZZ,1,0,0.0%
EA,brawlBall,Sunny Soccer,CLANCY,1,1,100.0%
EA,brawlBall,Sunny Soccer,LUMI,1,0,0.0%
EA,brawlBall,Sunny Soccer,RUFFS,1,0,0.0%
EA,brawlBall,Sunny Soccer,SHADE,1,1,100.0%
EA,brawlBall,Super Beach,BEA,1,1,100.0%
EA,brawlBall,Super Beach,CHESTER,1,1,100.0%
EA,brawlBall,Super Beach,CORDELIUS,1,0,0.0%
EA,brawlBall,Super Beach,CROW,4,2,50.0%
EA,brawlBall,Super Beach,EDGAR,2,1,50.0%
EA,brawlBall,Super Beach,GRIFF,2,1,50.0%
EA,brawlBall,Super Beach,HANK,2,1,50.0%
EA,brawlBall,Super Beach,LARRY & LAWRIE,1,0,0.0%
EA,brawlBall,Super Beach,LUMI,2,1,50.0%
EA,brawlBall,Super Beach,MAISIE,1,0,0.0%
EA,brawlBall,Super Beach,MAX,1,0,0.0%
EA,brawlBall,Super Beach,MEEPLE,1,1,100.0%
EA,brawlBall,Super Beach,OTIS,2,1,50.0%
EA,brawlBall,Super Beach,RUFFS,1,1,100.0%
EA,brawlBall,Super Beach,SANDY,1,1,100.0%
EA,brawlBall,Super Beach,SHADE,3,0,0.0%
EA,brawlBall,Super Beach,STU,2,1,50.0%
EA,brawlBall,Super Beach,TRUNK,1,1,100.0%
EA,brawlBall,Super Beach,WILLOW,1,1,100.0%
EA,brawlBall,Triple Dribble,CHESTER,1,1,100.0%
EA,brawlBall,Triple Dribble,CROW,1,0,0.0%
EA,brawlBall,Triple Dribble,KENJI,1,0,0.0%
EA,brawlBall,Triple Dribble,LUMI,2,1,50.0%
EA,brawlBall,Triple Dribble,MEEPLE,1,1,100.0%
EA,brawlBall,Triple Dribble,MORTIS,1,1,100.0%
EA,brawlBall,Triple Dribble,NITA,1,0,0.0%
EA,brawlBall,Triple Dribble,PIERCE,1,1,100.0%
EA,brawlBall,Triple Dribble,SHADE,1,1,100.0%
EA,brawlBall,Triple Dribble,ZIGGY,2,0,0.0%
EA,gemGrab,Crystal Arcade,CHARLIE,1,1,100.0%
EA,gemGrab,Crystal Arcade,CHESTER,2,0,0.0%
EA,gemGrab,Crystal Arcade,COLT,1,1,100.0%
EA,gemGrab,Crystal Arcade,CROW,1,0,0.0%
EA,gemGrab,Crystal Arcade,DOUG,1,0,0.0%
EA,gemGrab,Crystal Arcade,EDGAR,2,1,50.0%
EA,gemGrab,Crystal Arcade,FANG,1,1,100.0%
EA,gemGrab,Crystal Arcade,JANET,1,1,100.0%
EA,gemGrab,Crystal Arcade,KAZE,1,1,100.0%
EA,gemGrab,Crystal Arcade,LEON,1,0,0.0%
EA,gemGrab,Crystal Arcade,LUMI,1,0,0.0%
EA,gemGrab,Crystal Arcade,MORTIS,1,0,0.0%
EA,gemGrab,Crystal Arcade,OTIS,2,1,50.0%
EA,gemGrab,Crystal Arcade,RICO,1,1,100.0%
EA,gemGrab,Crystal Arcade,RUFFS,3,2,66.7%
EA,gemGrab,Crystal Arcade,SPIKE,1,1,100.0%
EA,gemGrab,Crystal Arcade,STU,3,1,33.3%
EA,gemGrab,Deathcap Trap,BULL,1,0,0.0%
EA,gemGrab,Deathcap Trap,CHESTER,5,3,60.0%
EA,gemGrab,Deathcap Trap,COLETTE,1,0,0.0%
EA,gemGrab,Deathcap Trap,COLT,1,1,100.0%
EA,gemGrab,Deathcap Trap,EDGAR,2,0,0.0%
EA,gemGrab,Deathcap Trap,FANG,1,0,0.0%
EA,gemGrab,Deathcap Trap,FINX,2,1,50.0%
EA,gemGrab,Deathcap Trap,GRIFF,1,0,0.0%
EA,gemGrab,Deathcap Trap,KENJI,2,1,50.0%
EA,gemGrab,Deathcap Trap,KIT,2,2,100.0%
EA,gemGrab,Deathcap Trap,LEON,5,4,80.0%
EA,gemGrab,Deathcap Trap,LILY,3,2,66.7%
EA,gemGrab,Deathcap Trap,LUMI,3,1,33.3%
EA,gemGrab,Deathcap Trap,MEEPLE,1,0,0.0%
EA,gemGrab,Deathcap Trap,MICO,1,0,0.0%
EA,gemGrab,Deathcap Trap,MOE,3,1,33.3%
EA,gemGrab,Deathcap Trap,MORTIS,2,1,50.0%
EA,gemGrab,Deathcap Trap,NAJIA,1,0,0.0%
EA,gemGrab,Deathcap Trap,OTIS,3,1,33.3%
EA,gemGrab,Deathcap Trap,PENNY,4,2,50.0%
EA,gemGrab,Deathcap Trap,PIERCE,1,1,100.0%
EA,gemGrab,Deathcap Trap,RUFFS,3,1,33.3%
EA,gemGrab,Deathcap Trap,SANDY,2,2,100.0%
EA,gemGrab,Deathcap Trap,SHADE,1,1,100.0%
EA,gemGrab,Deathcap Trap,SIRIUS,3,3,100.0%
EA,gemGrab,Deathcap Trap,STU,5,2,40.0%
EA,gemGrab,Deathcap Trap,TARA,1,0,0.0%
EA,gemGrab,Double Swoosh,ALLI,1,1,100.0%
EA,gemGrab,Double Swoosh,BO,3,2,66.7%
EA,gemGrab,Double Swoosh,BULL,1,0,0.0%
EA,gemGrab,Double Swoosh,BUSTER,2,1,50.0%
EA,gemGrab,Double Swoosh,CHESTER,6,6,100.0%
EA,gemGrab,Double Swoosh,COLETTE,3,1,33.3%
EA,gemGrab,Double Swoosh,CROW,3,2,66.7%
EA,gemGrab,Double Swoosh,DRACO,2,2,100.0%
EA,gemGrab,Double Swoosh,EMZ,1,1,100.0%
EA,gemGrab,Double Swoosh,GALE,1,0,0.0%
EA,gemGrab,Double Swoosh,GRAY,1,1,100.0%
EA,gemGrab,Double Swoosh,GRIFF,4,1,25.0%
EA,gemGrab,Double Swoosh,KIT,1,1,100.0%
EA,gemGrab,Double Swoosh,LEON,1,0,0.0%
EA,gemGrab,Double Swoosh,LILY,3,0,0.0%
EA,gemGrab,Double Swoosh,LUMI,3,2,66.7%
EA,gemGrab,Double Swoosh,MEEPLE,5,1,20.0%
EA,gemGrab,Double Swoosh,MOE,3,2,66.7%
EA,gemGrab,Double Swoosh,MORTIS,3,3,100.0%
EA,gemGrab,Double Swoosh,NAJIA,3,2,66.7%
EA,gemGrab,Double Swoosh,OTIS,6,3,50.0%
EA,gemGrab,Double Swoosh,PEARL,1,0,0.0%
EA,gemGrab,Double Swoosh,PENNY,3,2,66.7%
EA,gemGrab,Double Swoosh,PIERCE,1,0,0.0%
EA,gemGrab,Double Swoosh,ROSA,2,0,0.0%
EA,gemGrab,Double Swoosh,SANDY,4,1,25.0%
EA,gemGrab,Double Swoosh,SHELLY,1,1,100.0%
EA,gemGrab,Double Swoosh,SIRIUS,1,0,0.0%
EA,gemGrab,Double Swoosh,SPIKE,1,0,0.0%
EA,gemGrab,Double Swoosh,STU,5,2,40.0%
EA,gemGrab,Double Swoosh,TARA,3,1,33.3%
EA,gemGrab,Hard Rock Mine,BO,1,1,100.0%
EA,gemGrab,Hard Rock Mine,CHARLIE,1,0,0.0%
EA,gemGrab,Hard Rock Mine,CHESTER,1,1,100.0%
EA,gemGrab,Hard Rock Mine,EDGAR,2,2,100.0%
EA,gemGrab,Hard Rock Mine,GRIFF,1,1,100.0%
