regiao,modo,mapa,pick,picks,vitorias,win_rate
EA,knockout,,PIERCE,2,2,100.0%
EA,knockout,Belle's Rock,BELLE,4,2,50.0%
EA,knockout,Belle's Rock,BROCK,7,5,71.4%
EA,knockout,Belle's Rock,BULL,2,0,0.0%
EA,knockout,Belle's Rock,BYRON,4,2,50.0%
EA,knockout,Belle's Rock,CHARLIE,2,0,0.0%
EA,knockout,Belle's Rock,COLETTE,4,3,75.0%
EA,knockout,Belle's Rock,COLT,1,1,100.0%
EA,knockout,Belle's Rock,CORDELIUS,2,2,100.0%
EA,knockout,Belle's Rock,CROW,1,0,0.0%
EA,knockout,Belle's Rock,DAMIAN,3,2,66.7%
EA,knockout,Belle's Rock,DARRYL,1,0,0.0%
EA,knockout,Belle's Rock,EDGAR,2,1,50.0%
EA,knockout,Belle's Rock,GENE,3,2,66.7%
EA,knockout,Belle's Rock,GRAY,3,0,0.0%
EA,knockout,Belle's Rock,HANK,2,2,100.0%
EA,knockout,Belle's Rock,JAE-YONG,3,0,0.0%
EA,knockout,Belle's Rock,KAZE,1,0,0.0%
EA,knockout,Belle's Rock,KIT,1,0,0.0%
EA,knockout,Belle's Rock,LEON,5,1,20.0%
EA,knockout,Belle's Rock,MAX,1,1,100.0%
EA,knockout,Belle's Rock,MEEPLE,2,0,0.0%
EA,knockout,Belle's Rock,MICO,1,1,100.0%
EA,knockout,Belle's Rock,MINA,2,0,0.0%
EA,knockout,Belle's Rock,NANI,2,1,50.0%
EA,knockout,Belle's Rock,OLLIE,2,2,100.0%
EA,knockout,Belle's Rock,PIERCE,3,2,66.7%
EA,knockout,Belle's Rock,R-T,4,3,75.0%
EA,knockout,Belle's Rock,RICO,5,1,20.0%
EA,knockout,Belle's Rock,RUFFS,4,3,75.0%
EA,knockout,Belle's Rock,SPROUT,4,3,75.0%
EA,knockout,Belle's Rock,SQUEAK,1,1,100.0%
EA,knockout,Belle's Rock,TICK,2,1,50.0%
EA,knockout,Goldarm Gulch,ANGELO,4,1,25.0%
EA,knockout,Goldarm Gulch,BELLE,1,0,0.0%
EA,knockout,Goldarm Gulch,BO,1,1,100.0%
EA,knockout,Goldarm Gulch,BROCK,6,3,50.0%
EA,knockout,Goldarm Gulch,BYRON,4,2,50.0%
EA,knockout,Goldarm Gulch,CHARLIE,2,1,50.0%
EA,knockout,Goldarm Gulch,COLETTE,3,0,0.0%
EA,knockout,Goldarm Gulch,COLT,4,3,75.0%
EA,knockout,Goldarm Gulch,CROW,3,2,66.7%
EA,knockout,Goldarm Gulch,DOUG,1,0,0.0%
EA,knockout,Goldarm Gulch,EVE,1,0,0.0%
EA,knockout,Goldarm Gulch,FINX,2,1,50.0%
EA,knockout,Goldarm Gulch,GENE,4,3,75.0%
EA,knockout,Goldarm Gulch,GLOWY,1,0,0.0%
EA,knockout,Goldarm Gulch,GRAY,2,1,50.0%
EA,knockout,Goldarm Gulch,GRIFF,1,0,0.0%
EA,knockout,Goldarm Gulch,GUS,1,1,100.0%
EA,knockout,Goldarm Gulch,JAE-YONG,5,2,40.0%
EA,knockout,Goldarm Gulch,KIT,3,2,66.7%
EA,knockout,Goldarm Gulch,MAX,1,0,0.0%
EA,knockout,Goldarm Gulch,MICO,2,1,50.0%
EA,knockout,Goldarm Gulch,MINA,2,1,50.0%
EA,knockout,Goldarm Gulch,MORTIS,2,1,50.0%
EA,knockout,Goldarm Gulch,MR. P,1,1,100.0%
EA,knockout,Goldarm Gulch,NAJIA,1,1,100.0%
EA,knockout,Goldarm Gulch,NANI,1,1,100.0%
EA,knockout,Goldarm Gulch,OLLIE,4,1,25.0%
EA,knockout,Goldarm Gulch,PEARL,1,0,0.0%
EA,knockout,Goldarm Gulch,PIERCE,3,1,33.3%
EA,knockout,Goldarm Gulch,R-T,5,4,80.0%
EA,knockout,Goldarm Gulch,RICO,1,1,100.0%
EA,knockout,Goldarm Gulch,ROSA,1,1,100.0%
EA,knockout,Goldarm Gulch,RUFFS,2,1,50.0%
EA,knockout,Goldarm Gulch,SQUEAK,2,1,50.0%
EA,knockout,Out in the Open,ANGELO,2,2,100.0%
EA,knockout,Out in the Open,BELLE,3,2,66.7%
EA,knockout,Out in the Open,BROCK,3,1,33.3%
EA,knockout,Out in the Open,BYRON,1,0,0.0%
EA,knockout,Out in the Open,CHARLIE,1,1,100.0%
EA,knockout,Out in the Open,COLETTE,1,0,0.0%
EA,knockout,Out in the Open,CORDELIUS,1,1,100.0%
EA,knockout,Out in the Open,GENE,2,1,50.0%
EA,knockout,Out in the Open,GLOWY,1,1,100.0%
EA,knockout,Out in the Open,GUS,1,0,0.0%
EA,knockout,Out in the Open,JAE-YONG,1,0,0.0%
EA,knockout,Out in the Open,LEON,1,1,100.0%
EA,knockout,Out in the Open,OLLIE,1,0,0.0%
EA,knockout,Out in the Open,PEARL,1,0,0.0%
EA,knockout,Out in the Open,PIERCE,1,1,100.0%
EA,knockout,Out in the Open,PIPER,1,1,100.0%
EA,knockout,Out in the Open,R-T,1,0,0.0%
EA,knockout,Out in the Open,SQUEAK,1,0,0.0%
EMEA,basketBrawl,Pocket Pass,FANG,1,1,100.0%
EMEA,basketBrawl,Pocket Pass,GALE,1,1,100.0%
EMEA,basketBrawl,Pocket Pass,GRIFF,1,0,0.0%
EMEA,basketBrawl,Pocket Pass,MINA,1,0,0.0%
EMEA,basketBrawl,Pocket Pass,PIERCE,1,0,0.0%
EMEA,basketBrawl,Pocket Pass,SURGE,1,1,100.0%
EMEA,bounty,,BEA,2,2,100.0%
EMEA,bounty,,COLT,10,10,100.0%
EMEA,bounty,,GRIFF,1,1,100.0%
EMEA,bounty,,MORTIS,1,1,100.0%
EMEA,bounty,,NANI,2,2,100.0%
EMEA,bounty,Hideout,ANGELO,1,1,100.0%
EMEA,bounty,Hideout,BELLE,6,4,66.7%
EMEA,bounty,Hideout,BO,1,1,100.0%
EMEA,bounty,Hideout,BROCK,1,0,0.0%
EMEA,bounty,Hideout,BYRON,5,2,40.0%
EMEA,bounty,Hideout,CHARLIE,3,1,33.3%
EMEA,bounty,Hideout,COLETTE,1,1,100.0%
EMEA,bounty,Hideout,CROW,1,1,100.0%
EMEA,bounty,Hideout,FANG,1,0,0.0%
EMEA,bounty,Hideout,GENE,5,2,40.0%
EMEA,bounty,Hideout,GUS,1,1,100.0%
EMEA,bounty,Hideout,JAE-YONG,3,1,33.3%
EMEA,bounty,Hideout,KAZE,5,3,60.0%
EMEA,bounty,Hideout,KENJI,1,0,0.0%
EMEA,bounty,Hideout,MEEPLE,1,0,0.0%
EMEA,bounty,Hideout,MELODIE,2,0,0.0%
EMEA,bounty,Hideout,MINA,5,4,80.0%
EMEA,bounty,Hideout,MORTIS,4,4,100.0%
EMEA,bounty,Hideout,NANI,5,3,60.0%
EMEA,bounty,Hideout,PENNY,3,2,66.7%
EMEA,bounty,Hideout,PIERCE,7,2,28.6%
EMEA,bounty,Hideout,R-T,2,0,0.0%
EMEA,bounty,Hideout,RUFFS,2,0,0.0%
EMEA,bounty,Layer Cake,ALLI,2,2,100.0%
EMEA,bounty,Layer Cake,BIBI,1,0,0.0%
EMEA,bounty,Layer Cake,BUSTER,1,1,100.0%
EMEA,bounty,Layer Cake,BUZZ,1,1,100.0%
EMEA,bounty,Layer Cake,CHARLIE,1,0,0.0%
EMEA,bounty,Layer Cake,CHESTER,3,0,0.0%
EMEA,bounty,Layer Cake,COLETTE,1,1,100.0%
EMEA,bounty,Layer Cake,CROW,3,1,33.3%
EMEA,bounty,Layer Cake,EDGAR,2,2,100.0%
EMEA,bounty,Layer Cake,FANG,3,2,66.7%
EMEA,bounty,Layer Cake,GENE,3,1,33.3%
EMEA,bounty,Layer Cake,GRIFF,1,0,0.0%
EMEA,bounty,Layer Cake,JUJU,1,0,0.0%
EMEA,bounty,Layer Cake,KAZE,5,2,40.0%
EMEA,bounty,Layer Cake,KENJI,3,2,66.7%
EMEA,bounty,Layer Cake,KIT,5,2,40.0%
EMEA,bounty,Layer Cake,LEON,4,1,25.0%
EMEA,bounty,Layer Cake,LILY,1,0,0.0%
EMEA,bounty,Layer Cake,LUMI,2,2,100.0%
EMEA,bounty,Layer Cake,MEEPLE,7,6,85.7%
EMEA,bounty,Layer Cake,MICO,1,0,0.0%
EMEA,bounty,Layer Cake,MORTIS,3,1,33.3%
EMEA,bounty,Layer Cake,NAJIA,3,2,66.7%
EMEA,bounty,Layer Cake,PENNY,6,4,66.7%
EMEA,bounty,Layer Cake,PIERCE,5,2,40.0%
EMEA,bounty,Layer Cake,POCO,1,0,0.0%
EMEA,bounty,Layer Cake,RUFFS,2,1,50.0%
EMEA,bounty,Layer Cake,SHADE,3,2,66.7%
EMEA,bounty,Layer Cake,SIRIUS,2,0,0.0%
EMEA,bounty,Layer Cake,STU,4,2,50.0%
EMEA,bounty,Layer Cake,TICK,1,1,100.0%
EMEA,bounty,Layer Cake,WILLOW,2,1,50.0%
EMEA,bounty,Layer Cake,ZIGGY,1,0,0.0%
EMEA,bounty,Shooting Star,8-BIT,1,1,100.0%
EMEA,bounty,Shooting Star,ANGELO,6,2,33.3%
EMEA,bounty,Shooting Star,BELLE,6,3,50.0%
EMEA,bounty,Shooting Star,BIBI,3,2,66.7%
EMEA,bounty,Shooting Star,BYRON,10,7,70.0%
EMEA,bounty,Shooting Star,CHARLIE,3,3,100.0%
EMEA,bounty,Shooting Star,COLETTE,5,4,80.0%
EMEA,bounty,Shooting Star,CROW,1,0,0.0%
EMEA,bounty,Shooting Star,EVE,1,1,100.0%
EMEA,bounty,Shooting Star,FANG,8,2,25.0%
EMEA,bounty,Shooting Star,GENE,7,1,14.3%
EMEA,bounty,Shooting Star,GUS,3,1,33.3%
EMEA,bounty,Shooting Star,JAE-YONG,6,2,33.3%
EMEA,bounty,Shooting Star,KAZE,4,2,50.0%
EMEA,bounty,Shooting Star,LEON,7,4,57.1%
EMEA,bounty,Shooting Star,LOLA,1,1,100.0%
EMEA,bounty,Shooting Star,MAX,4,3,75.0%
EMEA,bounty,Shooting Star,MELODIE,1,0,0.0%
EMEA,bounty,Shooting Star,MINA,4,1,25.0%
EMEA,bounty,Shooting Star,MORTIS,6,6,100.0%
EMEA,bounty,Shooting Star,NAJIA,3,0,0.0%
EMEA,bounty,Shooting Star,NANI,11,4,36.4%
EMEA,bounty,Shooting Star,OLLIE,1,0,0.0%
EMEA,bounty,Shooting Star,PAM,4,2,50.0%
EMEA,bounty,Shooting Star,PENNY,1,1,100.0%
EMEA,bounty,Shooting Star,PIERCE,2,1,50.0%
EMEA,bounty,Shooting Star,PIPER,5,3,60.0%
EMEA,bounty,Shooting Star,R-T,6,3,50.0%
EMEA,bounty,Shooting Star,RUFFS,5,2,40.0%
EMEA,bounty,Shooting Star,TICK,1,1,100.0%
EMEA,brawlBall,Below Zero,BYRON,1,0,0.0%
EMEA,brawlBall,Below Zero,CHARLIE,1,0,0.0%
EMEA,brawlBall,Below Zero,COLETTE,1,1,100.0%
EMEA,brawlBall,Below Zero,CROW,1,1,100.0%
EMEA,brawlBall,Below Zero,LUMI,1,1,100.0%
EMEA,brawlBall,Below Zero,MELODIE,1,0,0.0%
EMEA,brawlBall,Pinhole Punt,ALLI,5,2,40.0%
EMEA,brawlBall,Pinhole Punt,ASH,1,0,0.0%
EMEA,brawlBall,Pinhole Punt,BULL,2,2,100.0%
EMEA,brawlBall,Pinhole Punt,BUSTER,4,0,0.0%
EMEA,brawlBall,Pinhole Punt,BYRON,1,0,0.0%
EMEA,brawlBall,Pinhole Punt,CARL,1,1,100.0%
EMEA,brawlBall,Pinhole Punt,CHARLIE,3,1,33.3%
EMEA,brawlBall,Pinhole Punt,CHESTER,12,7,58.3%
EMEA,brawlBall,Pinhole Punt,COLETTE,4,1,25.0%
EMEA,brawlBall,Pinhole Punt,CORDELIUS,1,1,100.0%
EMEA,brawlBall,Pinhole Punt,CROW,2,1,50.0%
EMEA,brawlBall,Pinhole Punt,EDGAR,5,3,60.0%
EMEA,brawlBall,Pinhole Punt,EMZ,5,2,40.0%
EMEA,brawlBall,Pinhole Punt,FANG,4,1,25.0%
EMEA,brawlBall,Pinhole Punt,FINX,1,1,100.0%
EMEA,brawlBall,Pinhole Punt,GALE,2,1,50.0%
EMEA,brawlBall,Pinhole Punt,JAE-YONG,1,0,0.0%
EMEA,brawlBall,Pinhole Punt,JANET,3,2,66.7%
EMEA,brawlBall,Pinhole Punt,KENJI,5,2,40.0%
EMEA,brawlBall,Pinhole Punt,LARRY & LAWRIE,1,0,0.0%
EMEA,brawlBall,Pinhole Punt,LEON,12,6,50.0%
EMEA,brawlBall,Pinhole Punt,LUMI,11,4,36.4%
EMEA,brawlBall,Pinhole Punt,MAISIE,1,1,100.0%
EMEA,brawlBall,Pinhole Punt,MEEPLE,8,3,37.5%
EMEA,brawlBall,Pinhole Punt,MINA,6,4,66.7%
EMEA,brawlBall,Pinhole Punt,MOE,5,1,20.0%
EMEA,brawlBall,Pinhole Punt,MORTIS,6,1,16.7%
EMEA,brawlBall,Pinhole Punt,NAJIA,6,4,66.7%
EMEA,brawlBall,Pinhole Punt,NITA,1,0,0.0%
EMEA,brawlBall,Pinhole Punt,OTIS,13,6,46.2%
EMEA,brawlBall,Pinhole Punt,PIERCE,4,2,50.0%
EMEA,brawlBall,Pinhole Punt,POCO,1,0,0.0%
EMEA,brawlBall,Pinhole Punt,RUFFS,6,5,83.3%
EMEA,brawlBall,Pinhole Punt,SIRIUS,5,1,20.0%
EMEA,brawlBall,Pinhole Punt,SQUEAK,1,1,100.0%
EMEA,brawlBall,Pinhole Punt,STU,11,9,81.8%
EMEA,brawlBall,Pinhole Punt,ZIGGY,2,2,100.0%
EMEA,brawlBall,Sneaky Fields,ALLI,2,1,50.0%
EMEA,brawlBall,Sneaky Fields,AMBER,1,1,100.0%
EMEA,brawlBall,Sneaky Fields,BULL,3,3,100.0%
EMEA,brawlBall,Sneaky Fields,BUZZ,2,1,50.0%
EMEA,brawlBall,Sneaky Fields,CHESTER,5,2,40.0%
EMEA,brawlBall,Sneaky Fields,CLANCY,1,1,100.0%
EMEA,brawlBall,Sneaky Fields,COLETTE,1,1,100.0%
EMEA,brawlBall,Sneaky Fields,CROW,1,1,100.0%
EMEA,brawlBall,Sneaky Fields,EDGAR,3,2,66.7%
EMEA,brawlBall,Sneaky Fields,EL PRIMO,2,1,50.0%
EMEA,brawlBall,Sneaky Fields,EMZ,3,1,33.3%
EMEA,brawlBall,Sneaky Fields,GRIFF,7,3,42.9%
EMEA,brawlBall,Sneaky Fields,KENJI,4,3,75.0%
EMEA,brawlBall,Sneaky Fields,LUMI,7,3,42.9%
EMEA,brawlBall,Sneaky Fields,MAISIE,1,0,0.0%
EMEA,brawlBall,Sneaky Fields,MAX,1,0,0.0%
EMEA,brawlBall,Sneaky Fields,MEEPLE,6,3,50.0%
EMEA,brawlBall,Sneaky Fields,MINA,1,1,100.0%
EMEA,brawlBall,Sneaky Fields,MOE,1,1,100.0%
EMEA,brawlBall,Sneaky Fields,MORTIS,6,2,33.3%
EMEA,brawlBall,Sneaky Fields,NAJIA,4,1,25.0%
EMEA,brawlBall,Sneaky Fields,NITA,1,1,100.0%
EMEA,brawlBall,Sneaky Fields,OTIS,12,7,58.3%
EMEA,brawlBall,Sneaky Fields,PIERCE,5,3,60.0%
EMEA,brawlBall,Sneaky Fields,POCO,1,0,0.0%
EMEA,brawlBall,Sneaky Fields,RICO,1,1,100.0%
EMEA,brawlBall,Sneaky Fields,RUFFS,2,1,50.0%
EMEA,brawlBall,Sneaky Fields,SANDY,6,2,33.3%
EMEA,brawlBall,Sneaky Fields,SHADE,5,1,20.0%
EMEA,brawlBall,Sneaky Fields,SHELLY,1,0,0.0%
EMEA,brawlBall,Sneaky Fields,SIRIUS,6,4,66.7%
EMEA,brawlBall,Sneaky Fields,STU,5,2,40.0%
EMEA,brawlBall,Sneaky Fields,TRUNK,1,0,0.0%
EMEA,brawlBall,Super Beach,BARLEY,1,1,100.0%
EMEA,brawlBall,Super Beach,BYRON,1,1,100.0%
EMEA,brawlBall,Super Beach,CHARLIE,3,1,33.3%
EMEA,brawlBall,Super Beach,CHESTER,3,1,33.3%
EMEA,brawlBall,Super Beach,COLETTE,1,0,0.0%
EMEA,brawlBall,Super Beach,CORDELIUS,4,2,50.0%
EMEA,brawlBall,Super Beach,CROW,5,1,20.0%
EMEA,brawlBall,Super Beach,EDGAR,2,1,50.0%
EMEA,brawlBall,Super Beach,EMZ,1,0,0.0%
EMEA,brawlBall,Super Beach,GRIFF,5,3,60.0%
EMEA,brawlBall,Super Beach,JACKY,1,0,0.0%
EMEA,brawlBall,Super Beach,KENJI,1,1,100.0%
EMEA,brawlBall,Super Beach,KIT,1,0,0.0%
EMEA,brawlBall,Super Beach,LARRY & LAWRIE,1,1,100.0%
EMEA,brawlBall,Super Beach,LUMI,4,0,0.0%
EMEA,brawlBall,Super Beach,MEEPLE,4,3,75.0%
EMEA,brawlBall,Super Beach,MINA,1,0,0.0%
EMEA,brawlBall,Super Beach,MOE,3,1,33.3%
EMEA,brawlBall,Super Beach,MORTIS,5,2,40.0%
EMEA,brawlBall,Super Beach,NAJIA,1,0,0.0%
EMEA,brawlBall,Super Beach,NITA,1,1,100.0%
EMEA,brawlBall,Super Beach,OTIS,10,7,70.0%
EMEA,brawlBall,Super Beach,PENNY,1,1,100.0%
EMEA,brawlBall,Super Beach,PIERCE,2,2,100.0%
EMEA,brawlBall,Super Beach,RUFFS,6,2,33.3%
EMEA,brawlBall,Super Beach,SANDY,2,2,100.0%
EMEA,brawlBall,Super Beach,SHADE,5,3,60.0%
EMEA,brawlBall,Super Beach,SHELLY,2,2,100.0%
EMEA,brawlBall,Super Beach,SIRIUS,1,0,0.0%
EMEA,brawlBall,Super Beach,SPIKE,1,1,100.0%
EMEA,brawlBall,Super Beach,STU,9,5,55.6%
EMEA,brawlBall,Super Beach,WILLOW,2,0,0.0%
EMEA,brawlBall,Triple Dribble,CHESTER,1,0,0.0%
EMEA,brawlBall,Triple Dribble,COLETTE,1,0,0.0%
EMEA,brawlBall,Triple Dribble,LARRY & LAWRIE,1,0,0.0%
EMEA,brawlBall,Triple Dribble,OTIS,1,1,100.0%
EMEA,brawlBall,Triple Dribble,RUFFS,1,1,100.0%
EMEA,brawlBall,Triple Dribble,STU,1,1,100.0%
EMEA,gemGrab,Crystal Arcade,ALLI,3,3,100.0%
EMEA,gemGrab,Crystal Arcade,ANGELO,3,0,0.0%
EMEA,gemGrab,Crystal Arcade,EDGAR,3,0,0.0%
EMEA,gemGrab,Crystal Arcade,FINX,3,3,100.0%
EMEA,gemGrab,Crystal Arcade,STU,3,0,0.0%
EMEA,gemGrab,Crystal Arcade,TARA,3,3,100.0%
EMEA,gemGrab,Deathcap Trap,ALLI,2,1,50.0%
EMEA,gemGrab,Deathcap Trap,BULL,1,1,100.0%
EMEA,gemGrab,Deathcap Trap,BYRON,3,0,0.0%
EMEA,gemGrab,Deathcap Trap,CHARLIE,2,1,50.0%
EMEA,gemGrab,Deathcap Trap,CHESTER,12,8,66.7%
EMEA,gemGrab,Deathcap Trap,COLETTE,4,2,50.0%
EMEA,gemGrab,Deathcap Trap,COLT,1,1,100.0%
EMEA,gemGrab,Deathcap Trap,CROW,5,2,40.0%
EMEA,gemGrab,Deathcap Trap,EDGAR,4,1,25.0%
EMEA,gemGrab,Deathcap Trap,FANG,3,1,33.3%
EMEA,gemGrab,Deathcap Trap,FINX,3,2,66.7%
EMEA,gemGrab,Deathcap Trap,GLOWY,1,1,100.0%
EMEA,gemGrab,Deathcap Trap,GRIFF,7,6,85.7%
EMEA,gemGrab,Deathcap Trap,GUS,3,1,33.3%
EMEA,gemGrab,Deathcap Trap,JANET,6,3,50.0%
EMEA,gemGrab,Deathcap Trap,KENJI,5,0,0.0%
EMEA,gemGrab,Deathcap Trap,KIT,10,4,40.0%
EMEA,gemGrab,Deathcap Trap,LEON,11,9,81.8%
EMEA,gemGrab,Deathcap Trap,LILY,9,4,44.4%
EMEA,gemGrab,Deathcap Trap,LUMI,8,5,62.5%
EMEA,gemGrab,Deathcap Trap,MEEPLE,3,2,66.7%
EMEA,gemGrab,Deathcap Trap,MEG,1,0,0.0%
EMEA,gemGrab,Deathcap Trap,MINA,2,2,100.0%
EMEA,gemGrab,Deathcap Trap,MOE,10,2,20.0%
EMEA,gemGrab,Deathcap Trap,MORTIS,8,4,50.0%
EMEA,gemGrab,Deathcap Trap,NAJIA,2,0,0.0%
EMEA,gemGrab,Deathcap Trap,NITA,1,1,100.0%
EMEA,gemGrab,Deathcap Trap,OTIS,11,6,54.5%
EMEA,gemGrab,Deathcap Trap,PAM,2,1,50.0%
EMEA,gemGrab,Deathcap Trap,PENNY,9,5,55.6%
EMEA,gemGrab,Deathcap Trap,PIERCE,3,2,66.7%
EMEA,gemGrab,Deathcap Trap,RUFFS,15,7,46.7%
EMEA,gemGrab,Deathcap Trap,SANDY,4,3,75.0%
EMEA,gemGrab,Deathcap Trap,SHADE,7,4,57.1%
EMEA,gemGrab,Deathcap Trap,SIRIUS,7,2,28.6%
EMEA,gemGrab,Deathcap Trap,SPIKE,1,1,100.0%
EMEA,gemGrab,Deathcap Trap,STU,14,5,35.7%
EMEA,gemGrab,Deathcap Trap,TRUNK,3,2,66.7%
EMEA,gemGrab,Deathcap Trap,ZIGGY,1,0,0.0%
EMEA,gemGrab,Double Swoosh,ALLI,3,1,33.3%
EMEA,gemGrab,Double Swoosh,BO,1,1,100.0%
EMEA,gemGrab,Double Swoosh,BULL,1,0,0.0%
EMEA,gemGrab,Double Swoosh,BUSTER,1,1,100.0%
EMEA,gemGrab,Double Swoosh,CHARLIE,1,1,100.0%
EMEA,gemGrab,Double Swoosh,CHESTER,6,4,66.7%
EMEA,gemGrab,Double Swoosh,COLETTE,1,1,100.0%
EMEA,gemGrab,Double Swoosh,EDGAR,3,1,33.3%
EMEA,gemGrab,Double Swoosh,EMZ,2,2,100.0%
EMEA,gemGrab,Double Swoosh,FINX,2,1,50.0%
EMEA,gemGrab,Double Swoosh,GRIFF,2,0,0.0%
EMEA,gemGrab,Double Swoosh,KENJI,1,0,0.0%
EMEA,gemGrab,Double Swoosh,KIT,1,1,100.0%
EMEA,gemGrab,Double Swoosh,LILY,2,0,0.0%
EMEA,gemGrab,Double Swoosh,LOLA,1,0,0.0%
EMEA,gemGrab,Double Swoosh,MAISIE,1,1,100.0%
EMEA,gemGrab,Double Swoosh,MEEPLE,5,2,40.0%
EMEA,gemGrab,Double Swoosh,MOE,9,6,66.7%
EMEA,gemGrab,Double Swoosh,MORTIS,2,1,50.0%
EMEA,gemGrab,Double Swoosh,NAJIA,2,1,50.0%
EMEA,gemGrab,Double Swoosh,OTIS,6,1,16.7%
EMEA,gemGrab,Double Swoosh,PEARL,1,0,0.0%
EMEA,gemGrab,Double Swoosh,PENNY,3,1,33.3%
EMEA,gemGrab,Double Swoosh,ROSA,5,3,60.0%
EMEA,gemGrab,Double Swoosh,RUFFS,1,1,100.0%
EMEA,gemGrab,Double Swoosh,SANDY,5,2,40.0%
EMEA,gemGrab,Double Swoosh,SIRIUS,2,1,50.0%
EMEA,gemGrab,Double Swoosh,STU,7,5,71.4%
EMEA,gemGrab,Double Swoosh,TARA,1,0,0.0%
EMEA,gemGrab,Hard Rock Mine,ALLI,1,0,0.0%
EMEA,gemGrab,Hard Rock Mine,BULL,2,2,100.0%
EMEA,gemGrab,Hard Rock Mine,CARL,1,0,0.0%
EMEA,gemGrab,Hard Rock Mine,CHARLIE,3,2,66.7%
EMEA,gemGrab,Hard Rock Mine,CHESTER,12,3,25.0%
EMEA,gemGrab,Hard Rock Mine,COLETTE,1,0,0.0%
EMEA,gemGrab,Hard Rock Mine,CROW,3,0,0.0%
EMEA,gemGrab,Hard Rock Mine,EDGAR,3,1,33.3%
EMEA,gemGrab,Hard Rock Mine,FANG,4,3,75.0%
EMEA,gemGrab,Hard Rock Mine,FINX,2,1,50.0%
EMEA,gemGrab,Hard Rock Mine,GRIFF,3,2,66.7%
EMEA,gemGrab,Hard Rock Mine,GUS,2,1,50.0%
EMEA,gemGrab,Hard Rock Mine,JANET,2,2,100.0%
EMEA,gemGrab,Hard Rock Mine,KAZE,1,0,0.0%
EMEA,gemGrab,Hard Rock Mine,KENJI,1,0,0.0%
EMEA,gemGrab,Hard Rock Mine,KIT,7,4,57.1%
EMEA,gemGrab,Hard Rock Mine,LEON,2,1,50.0%
EMEA,gemGrab,Hard Rock Mine,LILY,4,1,25.0%
EMEA,gemGrab,Hard Rock Mine,LOLA,1,1,100.0%
EMEA,gemGrab,Hard Rock Mine,LUMI,6,3,50.0%
EMEA,gemGrab,Hard Rock Mine,MAISIE,1,0,0.0%
EMEA,gemGrab,Hard Rock Mine,MAX,1,0,0.0%
EMEA,gemGrab,Hard Rock Mine,MOE,5,4,80.0%
EMEA,gemGrab,Hard Rock Mine,MORTIS,8,5,62.5%
EMEA,gemGrab,Hard Rock Mine,NAJIA,1,1,100.0%
EMEA,gemGrab,Hard Rock Mine,NITA,1,1,100.0%
EMEA,gemGrab,Hard Rock Mine,OTIS,9,3,33.3%
EMEA,gemGrab,Hard Rock Mine,PAM,1,1,100.0%
EMEA,gemGrab,Hard Rock Mine,PENNY,2,1,50.0%
EMEA,gemGrab,Hard Rock Mine,PIERCE,3,3,100.0%
EMEA,gemGrab,Hard Rock Mine,R-T,1,0,0.0%
EMEA,gemGrab,Hard Rock Mine,RICO,4,0,0.0%
EMEA,gemGrab,Hard Rock Mine,ROSA,1,0,0.0%
EMEA,gemGrab,Hard Rock Mine,RUFFS,6,5,83.3%
EMEA,gemGrab,Hard Rock Mine,SANDY,4,1,25.0%
EMEA,gemGrab,Hard Rock Mine,SHADE,7,4,57.1%
EMEA,gemGrab,Hard Rock Mine,SIRIUS,7,2,28.6%
EMEA,gemGrab,Hard Rock Mine,STU,10,7,70.0%
EMEA,gemGrab,Hard Rock Mine,SURGE,2,2,100.0%
EMEA,gemGrab,Hard Rock Mine,TARA,1,1,100.0%
EMEA,gemGrab,Hard Rock Mine,TRUNK,2,1,50.0%
EMEA,heist,Bridge Too Far,8-BIT,11,5,45.5%
EMEA,heist,Bridge Too Far,ALLI,3,3,100.0%
EMEA,heist,Bridge Too Far,AMBER,3,1,33.3%
EMEA,heist,Bridge Too Far,ANGELO,3,1,33.3%
EMEA,heist,Bridge Too Far,BEA,1,0,0.0%
EMEA,heist,Bridge Too Far,BELLE,1,1,100.0%
EMEA,heist,Bridge Too Far,BROCK,6,5,83.3%
EMEA,heist,Bridge Too Far,BYRON,1,0,0.0%
EMEA,heist,Bridge Too Far,CHARLIE,4,2,50.0%
EMEA,heist,Bridge Too Far,CHESTER,1,0,0.0%
EMEA,heist,Bridge Too Far,CHUCK,7,2,28.6%
EMEA,heist,Bridge Too Far,COLETTE,3,1,33.3%
EMEA,heist,Bridge Too Far,COLT,1,0,0.0%
EMEA,heist,Bridge Too Far,CORDELIUS,1,1,100.0%
EMEA,heist,Bridge Too Far,CROW,3,2,66.7%
EMEA,heist,Bridge Too Far,EDGAR,4,1,25.0%
EMEA,heist,Bridge Too Far,EVE,6,3,50.0%
EMEA,heist,Bridge Too Far,FINX,4,2,50.0%
EMEA,heist,Bridge Too Far,KAZE,12,7,58.3%
EMEA,heist,Bridge Too Far,LILY,2,1,50.0%
EMEA,heist,Bridge Too Far,LOLA,11,5,45.5%
EMEA,heist,Bridge Too Far,LUMI,2,0,0.0%
EMEA,heist,Bridge Too Far,MELODIE,10,6,60.0%
EMEA,heist,Bridge Too Far,NAJIA,3,2,66.7%
EMEA,heist,Bridge Too Far,NANI,9,3,33.3%
EMEA,heist,Bridge Too Far,OTIS,8,6,75.0%
