id_partida,regiao,id_players,name_players,pick,win,win_rate,modo,mapa,data_adicao																
None_Hard Rock Mine_#YGQYGCR_#GYCYCLRJL_#PLLRJC2V_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_CHESTER_MORTIS_CHARLIE_RICO_BONNIE_SHADE,SA,#YGQYGCR	#GYCYCLRJL	#PLLRJC2V	#280RJ29R9	#LG8PCJG8	#2YYJYPCL,BH|Portox	BH|Prozy	BH|Wesley534	SDL|Kapi	FNRS|Tex	TomzyðŸ‘½,BONNIE,1,100.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#YGQYGCR_#GYCYCLRJL_#PLLRJC2V_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_CHESTER_MORTIS_CHARLIE_RICO_BONNIE_SHADE,SA,#YGQYGCR	#GYCYCLRJL	#PLLRJC2V	#280RJ29R9	#LG8PCJG8	#2YYJYPCL,BH|Portox	BH|Prozy	BH|Wesley534	SDL|Kapi	FNRS|Tex	TomzyðŸ‘½,SHADE,1,100.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_OTIS_SHADE_BONNIE_CHARLIE_CHESTER_MORTIS,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Portox	BH|Prozy,OTIS,1,100.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_OTIS_SHADE_BONNIE_CHARLIE_CHESTER_MORTIS,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Portox	BH|Prozy,SHADE,1,100.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_OTIS_SHADE_BONNIE_CHARLIE_CHESTER_MORTIS,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Portox	BH|Prozy,BONNIE,1,100.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_OTIS_SHADE_BONNIE_CHARLIE_CHESTER_MORTIS,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Portox	BH|Prozy,CHARLIE,0,0.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_OTIS_SHADE_BONNIE_CHARLIE_CHESTER_MORTIS,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Portox	BH|Prozy,CHESTER,0,0.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_OTIS_SHADE_BONNIE_CHARLIE_CHESTER_MORTIS,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Portox	BH|Prozy,MORTIS,0,0.0%,gemGrab,Hard Rock Mine,Antiga						
None_Belle's Rock_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_RUFFS_MANDY_OLLIE_SQUEAK_BELLE_RICO,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Wesley534	BH|Portox	BH|Prozy,RUFFS,0,0.0%,knockout,Belle's Rock,Antiga						
None_Belle's Rock_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_RUFFS_MANDY_OLLIE_SQUEAK_BELLE_RICO,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Wesley534	BH|Portox	BH|Prozy,MANDY,0,0.0%,knockout,Belle's Rock,Antiga						
